"title","broad_cir","broad_gmv","broad_roi","click","cost","cpc","cr","ctr","direct_gmv","impression","avg_rank","start_time","created_at","updated_at","fromWIB","toWIB"
"Topi Rambut E-sport - Topi Rambut Palsu - Topi Wig - Topi Bulu E-sport [3]",0,0,0,3,60468871,0,0,0.00911854103343465,0,329,36,1726938000,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palsu - Udeng Rambut Palsu - Udeng Topi Rambut Palsu - Udeng Rambut Palsu Pria",0,0,0,3,44664341,0,0,0.009523809523809525,0,315,38,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Udeng Rambut Palsu Anak - Udeng Rambut Batik Anak - Topi Rambut Palsu Anak - Topi Wig Anak [2]",0,0,0,4,109146795,0,0,0.012944983818770227,0,309,13,1726938000,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palsu - Topi Rambut Brigez - Topi Rambut XTC - Topi Bulu - Topi Wig [3]",0,0,0,2,22268368,0,0,0.006968641114982578,0,287,32,1726938000,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palsu - Udeng Rambut Palsu - Udeng Topi Rambut Palsu - Udeng Rambut Palsu Pria [3]",0,0,0,2,44414398,0,0,0.00851063829787234,0,235,36,1726938000,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Udeng Merah Putih - Topi Udeng Bulu Viral - Ikat Kepala Udeng Rambut Palsu - Iket Kepala Merah Putih [2]",0,0,0,1,43750000,0,0,0.005050505050505051,0,198,26,1726938000,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Udeng Rambut Palsu - Topi Rambut Palsu - Udeng Merah Putih - Udeng Rambut Palsu Pria",0,0,0,0,0,0,0,0,0,193,35,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Golf Rambut Palsu - Topi Wig Golf - Topi Golf Bulu Korea - Topi Bulu Sule",0,0,0,2,43630566,0,0,0.011560693641618497,0,173,16,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Golf Rambut Palsu - Topi Wig Golf - Topi Golf Bulu Korea - Topi Bulu Sule [3]",0,0,0,7,118892271,0,0,0.04216867469879518,0,166,23,1727197200,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Udeng Rambut Palsu Anak - Udeng Rambut Batik Anak - Topi Rambut Palsu Anak - Topi Wig Anak",0,0,0,1,3520000,0,0,0.006578947368421052,0,152,31,1726938000,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Udeng Kujang Rambut Palsu - Udeng Rambut Palsu - Topi Rambut Palsu - Ikat Kepala Sunda [2]",0,0,0,1,21544769,0,0,0.008130081300813009,0,123,32,1726938000,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Suporter Timnas - Topi Rambut Persib - Topi Rambut Persija - Topi Rambut Arema - Topi Rambut Madura United - Topi Rambut Suporter Bola",0,0,0,3,47890104,0,0,0.02586206896551724,0,116,24,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Udeng Merah Putih - Topi Udeng Bulu Viral - Ikat Kepala Udeng Rambut Palsu - Iket Kepala Merah Putih [3]",0,0,0,0,0,0,0,0,0,114,29,1726938000,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Udeng Rambut Palsu - Topi Rambut Palsu - Udeng Merah Putih - Udeng Rambut Palsu Pria [3]",0,0,0,1,20622982,0,0,0.010869565217391304,0,92,38,1727197200,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Palsu - Topi Rambut Palsu Anak - Rambut Palsu Topi Anak",0,0,0,0,0,0,0,0,0,89,41,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Suporter Timnas - Topi Rambut Persib - Topi Rambut Persija - Topi Rambut Arema - Topi Rambut Madura United - Topi Rambut Suporter Bola [3]",0,0,0,4,124076146,0,0,0.07547169811320754,0,53,17,1727197200,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Wig Anak - Topi Rambut Palsu Anak- Topi Cosplay Anime Anak Viral - Topi Sule Anak - Topi Bulu Korea Anak [3]",0,0,0,0,0,0,0,0,0,0,0,1736701200,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Palsu - Udeng Rambut Palsu - Udeng Topi Rambut Palsu - Udeng Rambut Palsu Pria [4]",0,0,0,0,0,0,0,0,0,0,0,1731949200,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Wig Anak - Topi Rambut Palsu Anak- Topi Cosplay Anime Anak Viral - Topi Sule Anak - Topi Bulu Korea Anak",0,0,0,2,44687467,0,0,0.004032258064516129,0,496,32,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Udeng Merah Putih - Topi Udeng Bulu Viral - Ikat Kepala Udeng Rambut Palsu - Iket Kepala Merah Putih",0,0,0,0,0,0,0,0,0,0,0,1725382800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Palsu - Topi Golf Rambut Palsu - Topi Golf [2]",0.5134120024489796,19600000000,1.9477534518671,99,10062875248,2515718812,0.04040404040404041,0.02586206896551724,14700000000,3828,11,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Wig Anak - Topi Rambut Palsu Anak- Topi Cosplay Anime Anak Viral - Topi Sule Anak - Topi Bulu Korea Anak [2]",0.15982003030612246,9800000000,6.257037982564389,39,1566236297,783118148,0.05128205128205128,0.016162453377538334,9800000000,2413,11,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Udeng Rambut Palsu Pria - Udeng Jawa - Udeng Batik - Topi Rambut Palsu [3]",0,0,0,0,0,0,0,0,0,0,0,1727197200,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Udeng Rambut Palsu - Totopong Rambut Palsu - Ikat Kepala Batik Tradisional - Udeng Batik [3]",0,0,0,0,0,0,0,0,0,0,0,1726851600,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
